Employee ID,Gender,Company Type,WFH Setup Available,Designation,Resource Allocation,Mental Fatigue Score,Burn Rate,Years of Experience
fffe32003000360033003200,Female,Service,No,2,3.0,3.8,0.16,15.775342465753425
fffe3700360033003500,Male,Service,Yes,1,2.0,5.0,0.36,15.608219178082193
fffe31003300320037003900,Female,Product,Yes,2,4.0,5.8,0.49,16.334246575342465
fffe32003400380032003900,Male,Service,Yes,1,1.0,2.6,0.2,15.682191780821919
fffe31003900340031003600,Female,Service,No,3,7.0,6.9,0.52,15.961643835616439
fffe3300350037003500,Male,Product,Yes,2,4.0,3.6,0.29,15.61917808219178
fffe33003300340039003100,Female,Service,No,3,6.0,7.9,0.62,16.52054794520548
fffe32003600320037003400,Female,Service,Yes,2,4.0,4.4,0.33,15.69041095890411
fffe32003200300034003700,Female,Service,No,3,6.0,5.9,0.56,15.534246575342467
fffe31003600320030003200,Female,Product,No,3,6.0,5.9,0.67,16.336986301369862
fffe33003100330032003700,Male,Product,Yes,2,3.0,5.3,0.5,16.317808219178083
fffe3400310035003800,Male,Service,Yes,0,1.0,1.8,0.12,16.161643835616438
fffe32003100300030003700,Male,Service,Yes,2,5.0,5.9,0.4,16.471232876712328
fffe31003800330032003500,Female,Product,No,1,3.0,5.9,0.33,16.378082191780823
fffe33003100330036003300,Male,Product,Yes,1,3.0,5.8,0.51,16.156164383561645
fffe31003700350033003100,Female,Service,Yes,3,5.0,4.7,0.32,16.432876712328767
fffe33003200360037003000,Male,Service,Yes,1,2.0,5.9,0.39,16.315068493150687
fffe31003500350030003400,Male,Service,No,3,6.0,6.7,0.59,16.284931506849315
fffe31003000380035003800,Female,Product,Yes,2,4.0,4.0,0.22,16.115068493150684
fffe3300350037003200,Female,Service,No,3,5.0,5.9,0.68,16.035616438356165
fffe31003300360039003000,Male,Product,No,2,4.0,7.6,0.57,15.857534246575343
fffe32003700370038003300,Male,Service,Yes,1,3.0,6.3,0.47,16.484931506849314
fffe31003800390035003300,Male,Service,Yes,1,3.0,6.7,0.46,16.183561643835617
fffe3700370035003600,Female,Product,Yes,3,4.0,7.7,0.61,15.643835616438356
fffe3700300033003500,Female,Service,No,3,8.0,5.9,0.91,15.819178082191781
fffe3700370038003000,Female,Service,Yes,3,4.0,5.8,0.4,15.75068493150685
fffe3200340036003400,Male,Service,No,2,4.0,6.6,0.44,15.745205479452055
fffe3600330034003600,Female,Service,No,2,4.0,7.4,0.6,15.808219178082192
fffe31003600310031003600,Female,Service,No,2,5.0,6.7,0.46,15.813698630136987
fffe3400310034003500,Female,Service,Yes,2,4.0,5.9,0.45,15.61917808219178
fffe32003300340037003400,Female,Product,Yes,1,2.0,3.6,0.2,16.161643835616438
fffe3500380031003000,Female,Service,Yes,1,2.0,3.9,0.2,15.564383561643835
fffe32003400340039003400,Female,Service,No,0,1.0,3.0,0.19,15.745205479452055
fffe31003500310034003800,Male,Service,No,1,3.0,4.7,0.31,16.334246575342465
fffe32003700310030003800,Male,Product,No,4,8.0,8.7,0.81,16.186301369863013
fffe32003800300036003300,Male,Service,Yes,3,5.0,4.4,0.39,15.931506849315069
fffe390036003000,Female,Service,Yes,3,6.0,5.8,0.42,15.942465753424658
fffe32003700390039003300,Female,Product,Yes,0,2.0,3.9,0.19,16.063013698630137
fffe32003500390036003500,Female,Service,Yes,3,7.0,6.6,0.56,16.2
fffe33003400390030003300,Female,Service,No,4,7.0,7.3,0.53,15.693150684931506
fffe3200350030003300,Female,Service,Yes,3,5.0,5.9,0.5,16.367123287671234
fffe3800360036003400,Female,Product,Yes,1,3.0,5.4,0.33,16.04931506849315
fffe33003200380030003900,Male,Service,No,2,5.0,5.0,0.45,16.39178082191781
fffe31003800370038003900,Female,Service,Yes,2,3.0,6.0,0.36,16.043835616438358
fffe31003700330031003000,Female,Service,Yes,3,6.0,7.5,0.59,15.586301369863014
fffe32003300380035003700,Male,Service,No,4,10.0,10.0,0.94,16.246575342465754
fffe3900300031003500,Female,Product,No,3,4.0,7.7,0.61,15.917808219178083
fffe32003700300034003600,Female,Product,Yes,1,3.0,6.0,0.37,15.865753424657534
fffe31003500390030003200,Male,Service,No,2,6.0,7.4,0.65,16.304109589041097
fffe31003500360032003800,Female,Service,Yes,2,5.0,6.4,0.49,15.967123287671233
fffe32003100320039003700,Male,Service,Yes,1,3.0,5.6,0.38,16.46301369863014
fffe31003200340033003100,Male,Product,No,2,5.0,7.4,0.62,15.75068493150685
fffe33003100340034003900,Female,Product,Yes,3,5.0,6.1,0.39,15.830136986301369
fffe32003100340032003800,Female,Product,Yes,2,4.0,3.1,0.15,16.123287671232877
fffe380030003100,Male,Service,No,2,5.0,8.0,0.61,15.547945205479452
fffe3900310031003800,Female,Product,No,1,2.0,4.0,0.26,16.254794520547946
fffe3200390030003200,Female,Service,No,2,2.0,3.6,0.28,15.547945205479452
fffe3800370031003300,Male,Product,Yes,2,5.0,8.7,0.71,16.372602739726027
fffe3300320030003200,Male,Product,No,3,4.0,8.0,0.68,16.21095890410959
fffe33003200310034003500,Female,Service,No,3,5.0,6.8,0.57,16.504109589041096
fffe32003200310030003200,Female,Service,Yes,2,3.0,4.9,0.39,15.635616438356164
fffe3300300031003100,Female,Product,No,3,6.0,7.9,0.61,15.827397260273973
fffe33003300310030003900,Male,Product,No,3,6.0,7.6,0.62,16.07945205479452
fffe31003200340034003500,Female,Service,No,5,9.0,9.2,0.8,16.364383561643837
fffe32003400320036003200,Male,Service,Yes,4,6.0,6.5,0.63,16.186301369863013
fffe3600330031003200,Female,Service,No,3,5.0,6.8,0.6,15.887671232876713
fffe31003300330034003700,Female,Product,No,4,8.0,8.7,0.79,15.726027397260275
fffe3600330032003400,Male,Service,Yes,2,5.0,6.2,0.39,15.904109589041095
fffe3500300037003900,Female,Service,No,3,5.0,5.8,0.36,16.504109589041096
fffe33003400360037003500,Female,Product,No,2,4.0,6.6,0.5,15.98082191780822
fffe32003500310039003700,Male,Product,No,4,7.0,8.2,0.72,15.827397260273973
fffe32003600370032003500,Female,Service,Yes,2,3.0,4.9,0.34,16.013698630136986
fffe3200350037003200,Female,Service,No,1,2.0,4.1,0.27,16.43013698630137
fffe3800390036003200,Male,Service,No,3,7.0,7.4,0.66,15.93972602739726
fffe3400390032003600,Female,Product,Yes,0,1.0,5.9,0.04,16.19178082191781
fffe33003300360032003700,Male,Service,Yes,1,2.0,4.4,0.27,16.136986301369863
fffe32003600360039003700,Female,Service,No,2,6.0,6.9,0.67,15.61917808219178
fffe3200360031003700,Female,Product,Yes,1,2.0,5.3,0.38,15.717808219178082
fffe33003300350036003100,Female,Service,Yes,2,2.0,4.3,0.28,16.30958904109589
fffe31003600360039003900,Male,Product,Yes,0,1.0,0.8,0.05,15.783561643835617
fffe31003500340038003100,Female,Service,Yes,2,4.0,2.9,0.22,16.284931506849315
fffe32003400320034003800,Female,Service,Yes,1,3.0,5.0,0.39,16.328767123287673
fffe31003300310036003300,Male,Service,Yes,1,4.0,6.9,0.52,16.13972602739726
fffe33003100300031003200,Female,Service,No,3,5.0,4.7,0.39,15.810958904109588
fffe31003300310037003900,Female,Service,No,1,3.0,2.0,0.11,16.405479452054795
fffe3300300036003900,Female,Service,No,2,4.0,5.4,0.44,15.805479452054794
fffe3300360039003000,Male,Product,No,2,5.0,6.1,0.5,16.019178082191782
fffe3500340030003800,Female,Product,Yes,1,4.0,5.1,0.41,15.7013698630137
fffe31003500310038003800,Male,Product,No,4,9.0,5.9,0.76,16.465753424657535
fffe340035003800,Female,Service,Yes,3,5.0,4.7,0.43,16.235616438356164
fffe31003700300036003800,Male,Service,Yes,3,5.0,5.4,0.46,15.704109589041096
fffe32003900320033003900,Female,Service,No,4,7.0,9.1,0.85,16.44109589041096
fffe380031003300,Male,Service,Yes,1,3.0,5.0,0.35,16.517808219178082
fffe33003200330030003500,Male,Product,No,1,1.0,0.0,0.0,16.326027397260273
fffe33003300390037003700,Male,Product,Yes,2,4.0,4.3,0.34,16.28767123287671
fffe31003500380034003100,Female,Service,Yes,2,4.0,6.7,0.44,15.887671232876713
fffe32003500370036003100,Female,Product,No,2,5.0,5.7,0.55,15.745205479452055
fffe33003200300033003500,Male,Service,Yes,4,6.0,6.8,0.62,15.64931506849315
fffe32003500370037003600,Male,Service,No,3,6.0,7.6,0.72,15.895890410958904
fffe32003400380030003100,Male,Product,Yes,3,8.0,8.3,0.71,15.608219178082193
fffe32003800330033003400,Female,Product,No,1,3.0,5.5,0.39,15.92054794520548
fffe32003500360037003200,Female,Service,No,1,3.0,5.3,0.48,16.03287671232877
fffe31003700350033003000,Female,Service,No,3,7.0,8.0,0.7,16.17808219178082
fffe3900300032003700,Male,Service,Yes,4,6.0,6.4,0.56,15.561643835616438
fffe3400320031003800,Female,Service,Yes,1,3.0,3.6,0.27,15.835616438356164
fffe3300360035003600,Female,Product,Yes,2,5.0,7.0,0.66,16.016438356164382
fffe31003900360033003300,Female,Product,No,3,7.0,7.6,0.56,15.698630136986301
fffe32003800300036003600,Male,Service,No,2,5.0,8.7,0.79,16.17808219178082
fffe31003900310039003200,Female,Product,Yes,0,1.0,2.6,0.18,16.389041095890413
fffe3400390037003700,Female,Service,Yes,2,4.0,4.7,0.33,16.254794520547946
fffe31003600300039003700,Male,Service,Yes,2,4.0,6.4,0.4,16.410958904109588
fffe33003100380034003500,Female,Service,No,2,5.0,5.8,0.39,16.356164383561644
fffe3800380039003400,Female,Service,No,1,1.0,3.3,0.23,15.915068493150685
fffe31003500390038003000,Female,Product,Yes,2,4.0,5.9,0.45,16.515068493150686
fffe3600310036003700,Female,Product,No,2,4.0,7.8,0.67,15.742465753424657
fffe3800390030003800,Male,Product,Yes,1,3.0,7.0,0.52,15.652054794520549
fffe3300390033003100,Female,Service,No,4,7.0,7.2,0.6,15.852054794520548
fffe3900330037003500,Male,Service,Yes,3,7.0,7.9,0.59,15.764383561643836
fffe3300360038003700,Female,Service,Yes,1,3.0,5.9,0.36,15.813698630136987
fffe32003400390034003500,Male,Service,No,1,3.0,4.4,0.29,16.353424657534248
fffe33003100300035003600,Male,Service,Yes,2,5.0,5.2,0.34,16.383561643835616
fffe31003900380032003800,Female,Product,Yes,2,4.0,5.3,0.34,16.29041095890411
fffe31003900300036003900,Female,Service,No,4,6.0,5.9,0.67,15.597260273972603
fffe31003600300030003000,Female,Product,Yes,4,4.0,8.9,0.76,15.843835616438357
fffe390031003100,Female,Product,Yes,3,4.0,5.2,0.46,15.810958904109588
fffe31003300380039003700,Male,Service,Yes,2,5.0,4.5,0.36,16.375342465753423
fffe32003700390032003000,Female,Product,No,2,3.0,6.6,0.45,15.583561643835617
fffe32003000300035003100,Female,Product,Yes,3,5.0,3.8,0.27,16.473972602739725
fffe33003400340033003100,Male,Product,No,3,7.0,7.6,0.65,16.454794520547946
fffe3900380037003500,Female,Product,Yes,3,6.0,5.6,0.34,16.15068493150685
fffe31003300380033003700,Female,Service,Yes,1,3.0,5.4,0.37,15.915068493150685
fffe33003000340037003600,Male,Product,Yes,1,2.0,4.9,0.25,16.03287671232877
fffe32003600370033003700,Male,Service,No,2,5.0,7.3,0.57,16.175342465753424
fffe3600320032003900,Male,Service,No,2,5.0,5.6,0.52,16.186301369863013
fffe3400330035003800,Female,Product,No,4,8.0,7.8,0.75,15.73150684931507
fffe3600380039003200,Female,Product,Yes,4,7.0,6.7,0.55,16.002739726027396
fffe31003700330032003400,Female,Service,No,1,4.0,6.5,0.43,16.33150684931507
fffe32003900320030003300,Female,Service,Yes,0,1.0,1.8,0.1,15.901369863013699
fffe32003600370036003700,Female,Product,No,3,6.0,8.1,0.68,15.873972602739727
fffe33003400300034003600,Male,Service,Yes,3,7.0,6.4,0.56,16.205479452054796
fffe3400350037003000,Male,Service,Yes,3,8.0,7.2,0.73,16.454794520547946
fffe32003800370034003800,Female,Service,No,2,5.0,8.6,0.7,15.843835616438357
fffe31003500390039003000,Male,Service,No,2,5.0,5.9,0.58,16.268493150684932
fffe31003300330030003000,Male,Product,No,4,8.0,9.5,0.88,15.556164383561644
fffe31003100370035003400,Male,Product,Yes,2,6.0,6.8,0.63,15.906849315068493
fffe3100360037003800,Female,Service,No,2,5.0,6.5,0.62,16.339726027397262
fffe3500390039003700,Female,Service,Yes,2,3.0,3.5,0.25,15.819178082191781
fffe33003400350037003000,Male,Service,No,2,3.0,4.8,0.4,16.21095890410959
fffe3300340033003900,Male,Product,No,3,8.0,7.6,0.77,16.427397260273974
fffe32003800380038003500,Male,Product,Yes,3,6.0,6.2,0.58,16.394520547945206
fffe31003700380039003600,Female,Product,Yes,3,6.0,3.6,0.3,15.827397260273973
fffe32003600360038003400,Male,Product,No,3,6.0,8.0,0.61,16.232876712328768
fffe31003000340032003700,Female,Service,Yes,3,5.0,6.0,0.4,15.70958904109589
fffe3300380034003600,Female,Service,Yes,1,3.0,3.8,0.33,16.34794520547945
fffe32003200320034003000,Female,Product,Yes,1,2.0,2.4,0.06,16.268493150684932
fffe31003100380033003600,Male,Service,Yes,1,4.0,4.3,0.36,15.92054794520548
fffe32003800310031003100,Female,Service,Yes,1,2.0,3.7,0.28,15.808219178082192
fffe32003000330031003700,Male,Product,Yes,2,5.0,5.6,0.37,16.35890410958904
fffe32003500340034003400,Female,Service,Yes,0,1.0,1.0,0.03,16.13150684931507
fffe33003300310035003800,Female,Product,Yes,2,5.0,7.2,0.67,15.838356164383562
fffe32003400360033003800,Male,Service,Yes,1,3.0,6.7,0.46,16.2986301369863
fffe31003700330032003300,Female,Service,Yes,3,8.0,7.5,0.72,15.528767123287672
fffe3900370030003600,Female,Service,No,3,6.0,5.9,0.69,16.068493150684933
fffe3900360033003500,Female,Service,No,4,7.0,7.5,0.65,16.28767123287671
fffe31003100350037003700,Female,Product,No,0,1.0,4.0,0.24,16.375342465753423
fffe31003400350033003700,Female,Service,Yes,1,3.0,5.3,0.41,15.608219178082193
fffe3100390034003700,Female,Product,No,2,5.0,7.5,0.68,15.767123287671232
fffe31003700380032003400,Female,Service,Yes,1,2.0,5.9,0.42,16.47945205479452
fffe31003300310035003400,Male,Product,No,4,7.0,7.7,0.72,16.443835616438356
fffe33003400390035003500,Male,Service,Yes,0,2.0,4.4,0.33,16.284931506849315
fffe31003600300032003500,Female,Service,Yes,2,3.0,5.9,0.37,15.717808219178082
fffe3700370031003700,Male,Service,Yes,4,6.0,5.9,0.6,16.432876712328767
fffe31003400340031003500,Male,Service,Yes,3,5.0,6.5,0.48,15.73972602739726
fffe32003300340038003400,Male,Product,Yes,2,4.0,5.5,0.48,16.41917808219178
fffe31003700310033003400,Male,Service,No,2,5.0,5.0,0.36,15.621917808219179
fffe32003000330033003800,Female,Service,Yes,1,1.0,5.9,0.24,16.213698630136985
fffe31003400380038003100,Male,Product,No,4,10.0,9.2,0.91,15.67123287671233
fffe31003000360035003700,Female,Product,Yes,1,2.0,4.1,0.24,15.545205479452054
fffe33003400330035003900,Female,Service,No,3,6.0,5.5,0.45,15.624657534246575
fffe3900350033003600,Male,Service,No,5,9.0,8.8,0.85,16.052054794520547
fffe31003000300037003800,Female,Service,No,2,4.0,5.5,0.34,16.13972602739726
fffe3900300031003000,Male,Product,Yes,1,3.0,5.9,0.36,15.610958904109589
